State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Tamil Nadu,Virudhunagar,Thalavaipuram (Uzhavar Sandhai ),Chow Chow,Chow Chow,Local,2025-10-05,2200.0,2600.0,2600.0,167
Tamil Nadu,Coimbatore,Mettupalayam (Uzhavar Sandhai ),Mint (Pudina),Mint (Pudina),Local,2025-10-18,4500.0,5000.0,5000.0,360
Maharashtra,Mumbai,Mumbai- Fruit Market,Chikoos (Sapota),Other,Local,2025-02-22,4000.0,5000.0,4500.0,71
Punjab,Ferozpur,Zira,Brinjal,Brinjal,FAQ,2025-06-02,1300.0,1500.0,1400.0,35
Tamil Nadu,Madurai,Anaiyur (Uzhavar Sandhai ),Raddish,Raddish,Local,2025-04-12,2000.0,2400.0,2400.0,161
Tamil Nadu,Dindigul,Chinnalapatti (Uzhavar Sandhai ),Banana,Besrai,Local,2025-06-17,4000.0,5000.0,5000.0,19
Gujarat,Amreli,Amreli,Chili Red,Bold,FAQ,2025-04-22,1500.0,8800.0,6700.0,26
Tamil Nadu,Theni,Theni (Uzhavar Sandhai ),Mint (Pudina),Mint (Pudina),Local,2025-07-24,3500.0,3500.0,3500.0,360
Madhya Pradesh,Rewa,Rewa,Mustard,Sarson (Black),FAQ,2025-06-06,5761.0,5949.0,5949.0,12
Karnataka,Shimoga,Shimoga,Bhindi (Ladies Finger),Bhindi,Local,2025-07-15,3300.0,3500.0,3400.0,85
Uttar Pradesh,Lakhimpur,Lakhimpur,Garlic,Desi,FAQ,2025-03-11,7900.0,8050.0,7950.0,25
Kerala,Kollam,Anchal,Pineapple,Other,Medium,2025-02-23,5600.0,5800.0,5700.0,21
Tamil Nadu,Pudukkottai,Alangudi (Uzhavar Sandhai ),Green Avare (W),Avare (W),Local,2025-06-12,6000.0,7000.0,7000.0,165
Maharashtra,Mumbai,Mumbai,Pointed gourd (Parval),Other,Local,2025-06-11,3000.0,5000.0,4000.0,303
Tamil Nadu,Theni,Chinnamanur (Uzhavar Sandhai ),Potato,(Red Nanital),Local,2025-07-19,3000.0,3000.0,3000.0,24
Rajasthan,Baran,Samraniyan,Wheat,Other,Non-FAQ,2025-03-13,2401.0,2595.0,2505.0,1
Tamil Nadu,Coimbatore,Mettupalayam (Uzhavar Sandhai ),Green Peas,Green Peas,Local,2025-01-23,6000.0,7000.0,7000.0,50
West Bengal,Kolkata,Mechua,Apple,Apple,Medium,2025-07-18,19000.0,21000.0,20000.0,17
Tamil Nadu,Thanjavur,Kumbakonam (Uzhavar Sandhai ),Coriander (Leaves),I Sort,Local,2025-04-06,3600.0,3600.0,3600.0,43
Tamil Nadu,Theni,Bodinayakanur (Uzhavar Sandhai ),Elephant Yam (Suran),Elephant Yam (Suran),Local,2025-08-27,6000.0,6000.0,6000.0,296
Odisha,Kalahandi,Bhawanipatna,Bhindi (Ladies Finger),Other,FAQ,2025-08-04,4000.0,4000.0,4000.0,85
Tamil Nadu,Vellore,Vellore,Ragi (Finger Millet),Other,Local,2025-03-24,3888.0,4338.0,4000.0,30
Tamil Nadu,Thiruvannamalai,Polur (Uzhavar Sandhai ),Thondekai,Thondekai,Local,2025-07-24,3300.0,4000.0,4000.0,162
West Bengal,Medinipur (W),Garbeta (Medinipur),Onion,Onion,FAQ,2025-07-18,1800.0,2000.0,1900.0,23
Gujarat,Kheda,Nadiyad (Piplag),Coriander (Leaves),Coriander,FAQ,2025-10-05,1500.0,1800.0,1650.0,43
Madhya Pradesh,Dhar,Dhar,Bengal Gram (Gram)(Whole),Desi (F.A.Q. Split),FAQ,2025-06-17,4500.0,5555.0,5555.0,6
Uttar Pradesh,Pratapgarh,Pratapgarh,Apple,Delicious,Medium,2025-03-27,8400.0,8800.0,8600.0,17
West Bengal,Howrah,Uluberia,Green Chilli,Other,FAQ,2025-04-21,4000.0,5200.0,4600.0,87
